year,quarter,geo_type,geo_name,geo_pname,hover_over,reg_users,app_opens
2018,1,STA,puducherry,india,CON,49318,0
2018,1,STA,tamil nadu,india,CON,2104754,0
2018,1,STA,uttar pradesh,india,CON,4694250,0
2018,1,STA,madhya pradesh,india,CON,2553603,0
2018,1,STA,andhra pradesh,india,CON,3336450,0
2018,1,STA,tripura,india,CON,55157,0
2018,1,STA,lakshadweep,india,CON,501,0
2018,1,STA,manipur,india,CON,29925,0
2018,1,STA,maharashtra,india,CON,6106994,0
2018,1,STA,dadra & nagar haveli & daman & diu,india,CON,53258,0
2018,1,STA,meghalaya,india,CON,18513,0
2018,1,STA,andaman & nicobar islands,india,CON,6740,0
2018,1,STA,haryana,india,CON,1847357,0
2018,1,STA,rajasthan,india,CON,3158202,0
2018,1,STA,ladakh,india,CON,8784,0
2018,1,STA,punjab,india,CON,847142,0
2018,1,STA,assam,india,CON,385237,0
2018,1,STA,jharkhand,india,CON,885762,0
2018,1,STA,odisha,india,CON,1594015,0
2018,1,STA,bihar,india,CON,2133804,0
2018,1,STA,kerala,india,CON,784184,0
2018,1,STA,karnataka,india,CON,3717763,0
2018,1,STA,chandigarh,india,CON,86268,0
2018,1,STA,telangana,india,CON,3315560,0
2018,1,STA,himachal pradesh,india,CON,227373,0
2018,1,STA,west bengal,india,CON,2604789,0
2018,1,STA,gujarat,india,CON,2690048,0
2018,1,STA,sikkim,india,CON,20051,0
2018,1,STA,nagaland,india,CON,15074,0
2018,1,STA,mizoram,india,CON,7593,0
2018,1,STA,chhattisgarh,india,CON,679263,0
2018,1,STA,jammu & kashmir,india,CON,176425,0
2018,1,STA,goa,india,CON,91936,0
2018,1,STA,arunachal pradesh,india,CON,21495,0
2018,1,STA,delhi,india,CON,2087022,0
2018,1,STA,uttarakhand,india,CON,483043,0
2018,4,STA,puducherry,india,CON,109494,0
2018,4,STA,tamil nadu,india,CON,5199878,0
2018,4,STA,uttar pradesh,india,CON,10341964,0
2018,4,STA,madhya pradesh,india,CON,5365442,0
2018,4,STA,andhra pradesh,india,CON,6857409,0
2018,4,STA,tripura,india,CON,153265,0
2018,4,STA,lakshadweep,india,CON,1156,0
2018,4,STA,manipur,india,CON,82589,0
2018,4,STA,maharashtra,india,CON,13381602,0
2018,4,STA,dadra & nagar haveli & daman & diu,india,CON,116511,0
2018,4,STA,meghalaya,india,CON,49634,0
2018,4,STA,andaman & nicobar islands,india,CON,15222,0
2018,4,STA,haryana,india,CON,3793079,0
2018,4,STA,rajasthan,india,CON,6358738,0
2018,4,STA,ladakh,india,CON,23883,0
2018,4,STA,punjab,india,CON,1865715,0
2018,4,STA,assam,india,CON,1039221,0
2018,4,STA,jharkhand,india,CON,1913949,0
2018,4,STA,odisha,india,CON,3623911,0
2018,4,STA,bihar,india,CON,4776665,0
2018,4,STA,kerala,india,CON,1757326,0
2018,4,STA,karnataka,india,CON,8315802,0
2018,4,STA,chandigarh,india,CON,177747,0
2018,4,STA,telangana,india,CON,6529679,0
2018,4,STA,himachal pradesh,india,CON,526343,0
2018,4,STA,west bengal,india,CON,6279278,0
2018,4,STA,gujarat,india,CON,5579040,0
2018,4,STA,sikkim,india,CON,48538,0
2018,4,STA,nagaland,india,CON,42997,0
2018,4,STA,mizoram,india,CON,19365,0
2018,4,STA,chhattisgarh,india,CON,1579998,0
2018,4,STA,jammu & kashmir,india,CON,436563,0
2018,4,STA,goa,india,CON,195350,0
2018,4,STA,arunachal pradesh,india,CON,61852,0
2018,4,STA,delhi,india,CON,4630313,0
2018,4,STA,uttarakhand,india,CON,1012103,0
2018,2,STA,puducherry,india,CON,65580,0
