year,quarter,geo_type,geo_name,geo_pname,hover_over,stat_type,count,amount
2018,1,STA,puducherry,india,CON,TOTAL,104212,165825971.3698361
2018,1,STA,tamil nadu,india,CON,TOTAL,6726622,11261557697.516891
2018,1,STA,uttar pradesh,india,CON,TOTAL,12537805,13939970923.223099
2018,1,STA,madhya pradesh,india,CON,TOTAL,8025395,8681603403.446348
2018,1,STA,andhra pradesh,india,CON,TOTAL,9039585,11996276391.8237
2018,1,STA,tripura,india,CON,TOTAL,148157,137978914.5306222
2018,1,STA,lakshadweep,india,CON,TOTAL,778,1928611.1808777403
2018,1,STA,manipur,india,CON,TOTAL,84069,128046173.9302092
2018,1,STA,maharashtra,india,CON,TOTAL,16387034,21711613257.72567
2018,1,STA,dadra & nagar haveli & daman & diu,india,CON,TOTAL,148549,175658384.10921678
2018,1,STA,meghalaya,india,CON,TOTAL,49571,66250259.78990036
2018,1,STA,andaman & nicobar islands,india,CON,TOTAL,6658,14631761.22198579
2018,1,STA,haryana,india,CON,TOTAL,4480770,6793511514.660528
2018,1,STA,rajasthan,india,CON,TOTAL,7591690,8926293130.726837
2018,1,STA,ladakh,india,CON,TOTAL,6089,12532857.77111478
2018,1,STA,punjab,india,CON,TOTAL,1870433,2780758224.8543887
2018,1,STA,assam,india,CON,TOTAL,1056881,1157804456.2124689
2018,1,STA,jharkhand,india,CON,TOTAL,2178921,2374186389.9193997
2018,1,STA,odisha,india,CON,TOTAL,5809821,4627632210.887628
2018,1,STA,bihar,india,CON,TOTAL,5824302,6045758172.017314
2018,1,STA,kerala,india,CON,TOTAL,1771380,2402674753.100502
2018,1,STA,karnataka,india,CON,TOTAL,12016899,19217895314.012802
2018,1,STA,chandigarh,india,CON,TOTAL,381895,613435420.8676233
2018,1,STA,telangana,india,CON,TOTAL,8522766,13308204118.54243
2018,1,STA,himachal pradesh,india,CON,TOTAL,481918,628737806.3723403
2018,1,STA,west bengal,india,CON,TOTAL,11710225,10625978552.14045
2018,1,STA,gujarat,india,CON,TOTAL,5948775,7577982255.034092
2018,1,STA,sikkim,india,CON,TOTAL,44078,64650938.94036835
2018,1,STA,nagaland,india,CON,TOTAL,42845,78005891.08612517
2018,1,STA,mizoram,india,CON,TOTAL,18561,45227219.97579083
2018,1,STA,chhattisgarh,india,CON,TOTAL,1891514,2149155557.236746
2018,1,STA,jammu & kashmir,india,CON,TOTAL,941568,1005371239.25613
2018,1,STA,goa,india,CON,TOTAL,160897,303856742.3430838
2018,1,STA,arunachal pradesh,india,CON,TOTAL,45497,92387336.00940911
2018,1,STA,delhi,india,CON,TOTAL,7122754,11211503806.91996
2018,1,STA,uttarakhand,india,CON,TOTAL,1246685,1508545358.523886
2018,2,STA,puducherry,india,CON,TOTAL,130261,285801119.5324367
2018,2,STA,tamil nadu,india,CON,TOTAL,9992128,20125844276.26766
2018,2,STA,uttar pradesh,india,CON,TOTAL,17710943,25720201695.70143
2018,2,STA,madhya pradesh,india,CON,TOTAL,10561412,15924081066.680983
2018,2,STA,andhra pradesh,india,CON,TOTAL,12353918,22883914272.63361
2018,2,STA,tripura,india,CON,TOTAL,214559,236891718.7161358
2018,2,STA,lakshadweep,india,CON,TOTAL,2132,6187809.539400538
2018,2,STA,manipur,india,CON,TOTAL,151721,253209721.319494
2018,2,STA,maharashtra,india,CON,TOTAL,22285740,36357057241.122536
2018,2,STA,dadra & nagar haveli & daman & diu,india,CON,TOTAL,202626,302070771.6561514
2018,2,STA,meghalaya,india,CON,TOTAL,67857,117004667.8418316
2018,2,STA,andaman & nicobar islands,india,CON,TOTAL,11340,28338535.507953543
2018,2,STA,haryana,india,CON,TOTAL,6150931,11320414442.11666
2018,2,STA,rajasthan,india,CON,TOTAL,9973697,15559086175.75962
2018,2,STA,ladakh,india,CON,TOTAL,15010,47334902.5377415
2018,2,STA,punjab,india,CON,TOTAL,2581163,4684672212.007125
2018,2,STA,assam,india,CON,TOTAL,1663873,2350585135.537811
2018,2,STA,jharkhand,india,CON,TOTAL,3152080,4721575659.062912
2018,2,STA,odisha,india,CON,TOTAL,8158144,8488310339.620239
2018,2,STA,bihar,india,CON,TOTAL,8632378,13506131109.67292
2018,2,STA,kerala,india,CON,TOTAL,2308165,3886923343.4426303
2018,2,STA,karnataka,india,CON,TOTAL,17116447,33515580081.297092
2018,2,STA,chandigarh,india,CON,TOTAL,479084,961223261.7447301
2018,2,STA,telangana,india,CON,TOTAL,10764670,23017201517.65273
2018,2,STA,himachal pradesh,india,CON,TOTAL,687695,1183169301.3511171
2018,2,STA,west bengal,india,CON,TOTAL,18082446,18629183470.20428
2018,2,STA,gujarat,india,CON,TOTAL,7745733,12162684771.64138
2018,2,STA,sikkim,india,CON,TOTAL,74578,143693085.52979562
2018,2,STA,nagaland,india,CON,TOTAL,65599,153325577.8803017
2018,2,STA,mizoram,india,CON,TOTAL,27051,83508405.55773437
2018,2,STA,chhattisgarh,india,CON,TOTAL,2816156,4264170443.161732
2018,2,STA,jammu & kashmir,india,CON,TOTAL,1796326,2651206236.502893
2018,2,STA,goa,india,CON,TOTAL,229575,478603825.3586148
2018,2,STA,arunachal pradesh,india,CON,TOTAL,82157,198970192.34204653
2018,2,STA,delhi,india,CON,TOTAL,9373723,17446299902.20514
2018,2,STA,uttarakhand,india,CON,TOTAL,1704122,2679755378.551076
2018,3,STA,puducherry,india,CON,TOTAL,190271,417658075.49420667
2018,3,STA,tamil nadu,india,CON,TOTAL,15774078,29330092241.184048
2018,3,STA,uttar pradesh,india,CON,TOTAL,26515356,37012114369.239365
2018,3,STA,madhya pradesh,india,CON,TOTAL,17126985,24149742204.67322
2018,3,STA,andhra pradesh,india,CON,TOTAL,25626061,35718044599.21416
2018,3,STA,tripura,india,CON,TOTAL,377703,453863388.04059243
2018,3,STA,lakshadweep,india,CON,TOTAL,1703,4339032.3119858485
2018,3,STA,manipur,india,CON,TOTAL,189258,383331244.79412293
